|Food|Grams|Calories|Protein|Fat|Sat.Fat|Fiber|Carbs|Category
0|Cows' milk|976.0|660.0|32.0|40.0|36.0|0.0|48.0|Dairy products
1|Milk skim|984.0|360.0|36.0|0.0|0.0|0.0|52.0|Dairy products
2|Buttermilk|246.0|127.0|9.0|5.0|4.0|0.0|13.0|Dairy products
3|Evaporated, undiluted|252.0|345.0|16.0|20.0|18.0|0.0|24.0|Dairy products
4|Fortified milk|1.419|1.373|89.0|42.0|23.0|1.4|119.0|Dairy products
5|Powdered milk|103.0|515.0|27.0|28.0|24.0|0.0|39.0|Dairy products
6|skim, instant|85.0|290.0|30.0|0.0|0.0|0.0|42.0|Dairy products
7|skim, non-instant|85.0|290.0|30.0|0.0|0.0|1.0|42.0|Dairy products
8|Goats' milk|244.0|165.0|8.0|10.0|8.0|0.0|11.0|Dairy products
9|(1/2 cup ice cream)|540.0|690.0|24.0|24.0|22.0|0.0|70.0|Dairy products
10|Cocoa|252.0|235.0|8.0|11.0|10.0|0.0|26.0|Dairy products
11|skim. milk|250.0|128.0|18.0|4.0|3.0|1.0|13.0|Dairy products
12|(cornstarch)|248.0|275.0|9.0|10.0|9.0|0.0|40.0|Dairy products
13|Custard|248.0|285.0|13.0|14.0|11.0|0.0|28.0|Dairy products
14|Ice cream|188.0|300.0|6.0|18.0|16.0|0.0|29.0|Dairy products
15|Ice milk|190.0|275.0|9.0|10.0|9.0|0.0|32.0|Dairy products
16|Cream or half-and-half|120.0|170.0|4.0|15.0|13.0|0.0|5.0|Dairy products
17|or whipping|119.0|430.0|2.0|44.0|27.0|1.0|3.0|Dairy products
18|Cheese|225.0|240.0|30.0|11.0|10.0|0.0|6.0|Dairy products
19|uncreamed|225.0|195.0|38.0|0.0|0.0|0.0|6.0|Dairy products
20|Cheddar|17.0|70.0|4.0|6.0|5.0|0.0|0.0|Dairy products
21|Cheddar, grated cup|56.0|226.0|14.0|19.0|17.0|0.0|1.0|Dairy products
22|Cream cheese|28.0|105.0|2.0|11.0|10.0|0.0|1.0|Dairy products
23|Processed cheese|28.0|105.0|7.0|9.0|8.0|0.0|0.0|Dairy products
24|Roquefort type|28.0|105.0|6.0|9.0|8.0|0.0|0.0|Dairy products
25|Swiss|28.0|105.0|7.0|8.0|7.0|0.0|0.0|Dairy products
26|Eggs raw|100.0|150.0|12.0|12.0|10.0|0.0|0.0|Dairy products
27|Eggs Scrambled or fried|128.0|220.0|13.0|16.0|14.0|0.0|1.0|Dairy products
28|Yolks|34.0|120.0|6.0|10.0|8.0|0.0|0.0|Fats, Oils, Shortenings
29|Butter|14.0|100.0|0.0|11.0|10.0|0.0|0.0|Fats, Oils, Shortenings
30|Butter|112.0|113.0|114.0|115.0|116.0|117.0|118.0|Fats, Oils, Shortenings
31|Butter|112.0|113.0|114.0|115.0|116.0|117.0|118.0|Fats, Oils, Shortenings
32|Hydrogenated cooking fat|100.0|665.0|0.0|100.0|88.0|0.0|0.0|Fats, Oils, Shortenings
33|Lard|110.0|992.0|0.0|110.0|92.0|0.0|0.0|Fats, Oils, Shortenings
34|Margarine|112.0|806.0|0.0|91.0|76.0|0.0|0.0|Fats, Oils, Shortenings
35|Margarine, 2 pat or|14.0|100.0|0.0|11.0|9.0|0.0|0.0|Fats, Oils, Shortenings
36|Mayonnaise|15.0|110.0|0.0|12.0|5.0|0.0|0.0|Fats, Oils, Shortenings
37|Corn oil|14.0|125.0|0.0|14.0|5.0|0.0|0.0|Fats, Oils, Shortenings
38|Olive oil|14.0|125.0|0.0|14.0|3.0|0.0|0.0|Fats, Oils, Shortenings
39|Safflower seed oil|14.0|125.0|0.0|14.0|3.0|0.0|0.0|Fats, Oils, Shortenings
40|French dressing|15.0|60.0|0.0|6.0|2.0|0.0|2.0|Fats, Oils, Shortenings
41|Thousand Island sauce|15.0|75.0|0.0|8.0|3.0|0.0|1.0|Fats, Oils, Shortenings
42|Salt pork|60.0|470.0|3.0|55.0|18.6|0.0|0.0|Meat, Poultry
43|Bacon|16.0|95.0|4.0|8.0|7.0|0.0|1.0|Meat, Poultry
44|Beef|85.0|245.0|23.0|16.0|15.0|0.0|0.0|Meat, Poultry
45|Hamburger|85.0|245.0|21.0|17.0|15.0|0.0|0.0|Meat, Poultry
46|Ground lean|85.0|185.0|24.0|10.0|9.0|0.0|0.0|Meat, Poultry
47|Roast beef|85.0|390.0|16.0|36.0|35.0|0.0|0.0|Meat, Poultry
48|Steak|85.0|330.0|20.0|27.0|25.0|0.0|0.0|Meat, Poultry
49|Steak, lean, as round|85.0|220.0|24.0|12.0|11.0|0.0|0.0|Meat, Poultry
50|Corned beef|85.0|185.0|22.0|10.0|9.0|0.0|0.0|Meat, Poultry
51|Corned beef hash canned|85.0|120.0|12.0|8.0|7.0|0.0|6.0|Meat, Poultry
52|Corned beef hash Dried|56.0|115.0|19.0|4.0|4.0|0.0|0.0|Meat, Poultry
53|Pot-pie|227.0|480.0|18.0|28.0|25.0|0.0|32.0|Meat, Poultry
54|Corned beef hash Stew|235.0|185.0|15.0|10.0|9.0|0.0|15.0|Meat, Poultry
55|chicken|85.0|185.0|23.0|9.0|7.0|0.0|0.0|Meat, Poultry
56|Fried, breast or leg and thigh chicken|85.0|245.0|25.0|15.0|11.0|0.0|0.0|Meat, Poultry
57|Roasted chicken|100.0|290.0|25.0|20.0|16.0|0.0|0.0|Meat, Poultry
58|Chicken livers, fried|100.0|140.0|22.0|14.0|12.0|0.0|2.3|Meat, Poultry
59|Duck, domestic|100.0|370.0|16.0|28.0|0.0|0.0|0.0|Meat, Poultry
60|Lamb, chop, broiled|115.0|480.0|24.0|35.0|33.0|0.0|0.0|Meat, Poultry
61|Leg roasted|86.0|314.0|20.0|14.0|14.0|0.0|0.0|Meat, Poultry
62|Shoulder, braised|85.0|285.0|18.0|23.0|21.0|0.0|0.0|Meat, Poultry
63|Pork, chop, 1 thick|100.0|260.0|16.0|21.0|18.0|0.0|0.0|Meat, Poultry
64|Ham pan-broiled|85.0|290.0|16.0|22.0|19.0|0.0|0.0|Meat, Poultry
65|Ham, as |57.0|170.0|13.0|13.0|11.0|0.0|0.0|Meat, Poultry
66|Ham, canned, spiced|57.0|165.0|8.0|14.0|12.0|0.0|1.0|Meat, Poultry
67|Pork roast|85.0|310.0|21.0|24.0|21.0|0.0|0.0|Meat, Poultry
68|Pork sausage|100.0|475.0|18.0|44.0|40.0|0.0|0.0|Meat, Poultry
69|Turkey|100.0|265.0|27.0|15.0|0.0|0.0|0.0|Meat, Poultry
70|Veal|85.0|185.0|23.0|9.0|8.0|0.0|0.0|Meat, Poultry
71|Roast|85.0|305.0|13.0|14.0|13.0|0.0|0.0|Meat, Poultry
72|Clams|85.0|87.0|12.0|1.0|0.0|0.0|2.0|Fish, Seafood
73|Cod|100.0|170.0|28.0|5.0|0.0|0.0|0.0|Fish, Seafood
74|Crab meat|85.0|90.0|14.0|2.0|0.0|0.0|1.0|Fish, Seafood
75|Fish sticks fried|112.0|200.0|19.0|10.0|5.0|0.0|8.0|Fish, Seafood
76|Flounder|100.0|200.0|30.0|8.0|0.0|0.0|0.0|Fish, Seafood
77|Haddock|85.0|135.0|16.0|5.0|4.0|0.0|6.0|Fish, Seafood
78|Halibut|100.0|182.0|26.0|8.0|0.0|0.0|0.0|Fish, Seafood
79|Herring|100.0|211.0|22.0|13.0|0.0|0.0|0.0|Fish, Seafood
80|Lobster|100.0|92.0|18.0|1.0|0.0|0.0|0.0|Fish, Seafood
81|Mackerel|85.0|155.0|18.0|9.0|0.0|0.0|0.0|Fish, Seafood
83|Oyster stew|85.0|125.0|19.0|6.0|1.0|0.0|0.0|Fish, Seafood
84|Salmon|85.0|120.0|17.0|5.0|1.0|0.0|0.0|Fish, Seafood
85|Sardines|85.0|180.0|22.0|9.0|4.0|0.0|0.0|Fish, Seafood
86|Scallops|100.0|104.0|18.0|8.0|0.0|0.0|10.0|Fish, Seafood
87|Shad|85.0|170.0|20.0|10.0|0.0|0.0|0.0|Fish, Seafood
88|Shrimp|85.0|110.0|23.0|1.0|0.0|0.0|0.0|Fish, Seafood
89|Swordfish|100.0|180.0|27.0|6.0|0.0|0.0|0.0|Fish, Seafood
90|Tuna|85.0|170.0|25.0|7.0|3.0|0.0|0.0|Fish, Seafood
91|Artichoke|100.0|44.0|2.0|0.0|0.0|2.0|10.0|Vegetables A-E
92|Asparagus|96.0|18.0|1.0|0.0|0.0|0.5|3.0|Vegetables A-E
93|Beans|125.0|25.0|1.0|0.0|0.0|0.8|6.0|Vegetables A-E
94|Lima|160.0|140.0|8.0|0.0|0.0|3.0|24.0|Vegetables A-E
95|Lima, dry, cooked|192.0|260.0|16.0|0.0|0.0|2.0|48.0|Vegetables A-E
96|Navy, baked with pork|200.0|250.0|11.0|6.0|6.0|2.0|37.0|Vegetables A-E
97|Red kidney|260.0|230.0|15.0|1.0|0.0|2.5|42.0|Vegetables A-E
98|Bean sprouts|50.0|17.0|1.0|0.0|0.0|0.3|3.0|Vegetables A-E
99|Beet greens|100.0|27.0|2.0|0.0|0.0|1.4|6.0|Vegetables A-E
100|Beetroots|165.0|1.0|12.0|0.0|0.0|0.0|0.8|Vegetables A-E
101|Broccoli|150.0|45.0|5.0|0.0|0.0|1.9|8.0|Vegetables A-E
102|Brussels sprouts|130.0|60.0|6.0|0.0|0.0|1.7|12.0|Vegetables A-E
103|Sauerkraut|150.0|32.0|1.0|0.0|0.0|1.2|7.0|Vegetables A-E
104|Steamed cabbage|170.0|40.0|2.0|0.0|0.0|1.3|9.0|Vegetables A-E
105|Carrots|150.0|45.0|1.0|0.0|0.0|0.9|10.0|Vegetables A-E
106|Raw, grated|110.0|45.0|1.0|0.0|0.0|1.2|10.0|Vegetables A-E
107|Strips, from raw|50.0|20.0|0.0|0.0|0.0|0.5|5.0|Vegetables A-E
